Ponto,PT-TM06/ETRS89,,WGS84,,,A,,,B,,,C,,,,D
,X(m),Y(m),Lat(°),Long(°),,,,,,,,,,,,
1,-35222.93,-283405.33,37.114486,-8.529414,,,,,,,,,,,,
2,-35223.52,-283528.45,37.113376,-8.529415,,,,,,,,,,,,
3,-35228.16,-283528.89,37.113372,-8.529467,,,,,,,,,,,,
4,-35223.84,-283579.47,37.112916,-8.529416,,,,,,,,,,,,
5,-35229.32,-283579.92,37.112912,-8.529477,,,,,,,,,,,,
6,-35208.76,-283622.26,37.112531,-8.529244,,,,,,,,,,,,
7,-35229.80,-283635.70,37.112410,-8.529480,,,,,,,,,,,,
8,-35225.60,-283715.24,37.111693,-8.529429,,,,,,,,,,,,
9,-35229.89,-283716.18,37.111684,-8.529478,,,,,,,,,,,,
10,-35226.25,-283756.07,37.111325,-8.529435,,,,,,,,,,,,
11,-35230.06,-283756.65,37.111320,-8.529478,,,,,,,,,,,,
12,-35227.20,-283841.53,37.110555,-8.529441,,,,,,,,,,,,
13,-35231.73,-283841.51,37.110555,-8.529492,,,,,,,,,,,,
14,-35227.50,-283886.39,37.110151,-8.529443,,,,,,,,,,,,
15,-35232.17,-283886.64,37.110148,-8.529495,,,,,,,,,,,,
16,-35228.15,-283950.64,37.109572,-8.529447,,,,,,,,,,,,
17,-35232.92,-283951.09,37.109568,-8.529501,,,,,,,,,,,,
18,-35228.74,-284008.32,37.109052,-8.529451,,,,,,,,,,,,
19,-35233.27,-284007.71,37.109057,-8.529502,,,,,,,,,,,,
20,-35229.23,-284039.42,37.108772,-8.529455,,,,,,,,,,,,
21,-35232.63,-284043.06,37.108739,-8.529493,,,,,,,,,,,,
22,-35220.01,-284046.65,37.108707,-8.529351,,,,,,,,,,,,
23,-35251.67,-284046.09,37.108711,-8.529707,,,,,,,,,,,,
24,-35232.81,-284056.56,37.108617,-8.529494,,,,,,,,,,,,
25,-35228.13,-283900.50,37.110024,-8.529449,,,,,,,,,,,,
26,-35234.90,-283899.26,37.110035,-8.529525,,,,,,,,,,,,
27,-35236.20,-284039.08,37.108775,-8.529533,,,,,,,,,,,,
28,-35250.13,-284039.66,37.108769,-8.529690,,,,,,,,,,,,
